TSO,Scale,Wind_WPL_MaStR_%,Wind_Atlite_V112_%,Solar_PVLib_MaStR_%,Solar_Atlite_%
50Hertz,DE_50HZ,138.46,124.49,166.31,145.22
Amprion,DE_AMPRION,130.54,112.42,158.58,144.22
TenneT,DE_TENNET,150.06,141.79,215.53,187.04
TransnetBW,DE_TRANSNET,117.62,82.06,179.06,159.03
