,entsoe_wind_DE_50HZ,entsoe_solar_DE_50HZ,wpl_wind_DE_50HZ,atlite_wind_DE_50HZ,pvlib_mastr_solar_DE_50HZ,atlite_solar_DE_50HZ,entsoe_wind_DE_AMPRION,entsoe_solar_DE_AMPRION,wpl_wind_DE_AMPRION,atlite_wind_DE_AMPRION,pvlib_mastr_solar_DE_AMPRION,atlite_solar_DE_AMPRION,entsoe_wind_DE_TENNET,entsoe_solar_DE_TENNET,wpl_wind_DE_TENNET,atlite_wind_DE_TENNET,pvlib_mastr_solar_DE_TENNET,atlite_solar_DE_TENNET,entsoe_wind_DE_TRANSNET,entsoe_solar_DE_TRANSNET,wpl_wind_DE_TRANSNET,atlite_wind_DE_TRANSNET,pvlib_mastr_solar_DE_TRANSNET,atlite_solar_DE_TRANSNET
2023-01-15 00:00:00,12981.75,0.0,19274.566358220258,19816.438673738747,0.0,0.0,7077.0,0.0,10643.000289310472,10606.13600165053,0.0,0.0,14486.0,0.0,22957.356526688225,23243.691148569465,0.0,0.0,1346.0,0.0,1731.6040173152387,1710.64846590775,0.0,0.0
2023-01-15 01:00:00,11774.5,0.0,18864.470585119005,19168.17917904718,0.0,0.0,6297.5,0.0,9339.58180134997,8946.847548406378,0.0,0.0,14571.25,0.0,23044.41398915284,23299.782326696855,0.0,0.0,1261.0,0.0,1731.8717950520702,1711.3008725192615,0.0,0.0
2023-01-15 02:00:00,11004.5,0.0,17895.59014705056,17958.774561531227,0.0,0.0,5660.25,0.0,8533.812317745233,7927.186716567117,0.0,0.0,14598.0,0.0,22674.498099769982,22611.191031302125,0.0,0.0,1183.75,0.0,1741.2102202370354,1726.7604900388105,0.0,0.0
2023-01-15 03:00:00,10622.75,0.0,17282.81202900049,17329.39119758461,0.0,0.0,5295.0,0.0,7522.88892277564,6678.695021807379,0.0,0.0,14253.25,0.0,22212.94788530677,21982.096055480288,0.0,0.0,1181.5,0.0,1747.0817755013013,1719.232475818467,0.0,0.0
2023-01-15 04:00:00,9751.5,0.0,15964.979229103266,15304.74629367944,0.0,0.0,5579.25,0.0,7207.235694479677,6451.334993233343,0.0,0.0,14371.5,0.0,21650.0180157642,21451.610588347547,0.0,0.0,1115.0,0.0,1719.2915493114533,1673.2397040020467,0.0,0.0
2023-01-15 05:00:00,8885.0,0.0,13634.247254413685,12532.477488001105,0.0,0.0,5830.0,0.0,7877.160582408683,7141.774550792247,0.0,0.0,15064.25,0.0,21751.515674815648,21541.271989116467,0.0,0.0,978.0,0.0,1487.4119763370193,1388.811264093983,0.0,0.0
2023-01-15 06:00:00,8015.25,0.0,11661.644611092674,10409.011082655994,0.0,0.0,6498.25,0.0,8340.563419968972,7794.654555024664,0.0,0.0,15380.25,0.0,21765.027297186094,21511.95734610789,0.0,0.0,870.75,0.0,1118.8973297146954,996.0992616866465,0.0,0.0
2023-01-15 07:00:00,7983.25,56.5,11439.115581683864,10215.560016748133,0.0,0.0,7463.5,24.25,9276.841427245208,8943.57456449392,0.0,0.0,16100.5,44.5,22133.816607835895,21864.082085201917,0.0024319371858468235,0.0,952.0,6.25,868.8216190931516,719.1992071773305,0.0,0.0
2023-01-15 08:00:00,8757.25,364.5,12296.87089831044,11259.255571416521,108.68269233617859,2.759925592058767,7977.0,301.5,10268.739123140112,10068.399453580401,42.80292790633882,0.004739082507964593,16120.75,436.0,22250.15423304889,21884.14552945979,198.64904113508814,24.353017521408027,1016.25,77.75,768.0655432195886,554.1636086347094,23.88778383057647,0.03886351774152595
2023-01-15 09:00:00,10053.25,871.0,13371.473714485071,12458.790108345422,751.304481506134,543.8857161259493,8305.25,610.0,10889.964179542838,10886.620013379244,531.0088494685832,426.5375892367304,16717.25,1058.5,23006.91006829619,22514.01511137844,1241.0380406049296,1147.336724533261,1074.5,185.5,1361.8111034449175,1000.9630997800008,153.6120291078299,63.31895867434643
