Scale,Technology,Model,Ratio_%,Correlation,MAE_MW,RMSE_MW,Sim_GWh,Actual_GWh
Germany national,Wind,Windpowerlib MaStR fleet (ERA5 cutout),140.88,0.9762,5592.8,7809.6,166137.5,117931.3
Germany national,Wind,Atlite (ERA5 cutout),127.66,0.9738,4110.9,6537.9,150547.4,117931.3
Germany national,Solar,PVLib 30/180 (ERA5 cutout),189.81,0.9366,5988.6,10809.1,104799.6,55212.0
Germany national,Solar,PVLib MaStR orient (ERA5 cutout),184.74,0.9346,5678.6,10086.5,101999.0,55212.0
Germany national,Solar,Atlite (ERA5 cutout),162.5,0.9396,4557.0,7986.9,89720.8,55212.0
