,entsoe_wind,entsoe_solar,atlite_wind,atlite_solar,wpl_wind,pvlib_uniform_solar,pvlib_mastr_solar
2023-01-01 00:00:00,29236.75,0.0,56198.11390745671,0.0,57452.466917205835,0.0,0.0
2023-01-01 01:00:00,29364.0,0.0,56419.9871239409,0.0,57525.13735852401,0.0,0.0
2023-01-01 02:00:00,26441.75,0.0,56333.73790092838,0.0,57316.112730781286,0.0,0.0
2023-01-01 03:00:00,26129.25,0.0,56282.76158575872,0.0,57070.4045148031,0.0,0.0
2023-01-01 04:00:00,26350.0,0.0,56118.118120702915,0.0,56858.87843327053,0.0,0.0
2023-01-01 05:00:00,26104.0,0.0,55895.812108826976,0.0,56683.35086692735,0.0,0.0
2023-01-01 06:00:00,26760.0,0.0,55590.87637842433,0.0,56264.13294317097,0.0,0.0
2023-01-01 07:00:00,26060.5,511.5,55459.15571397369,0.0,56046.0521900843,0.0,0.0
2023-01-01 08:00:00,24503.25,3569.75,54949.5245553162,1905.5196705114865,55651.96145061566,828.5963521042163,818.7354624449171
2023-01-01 09:00:00,23463.25,6758.75,53828.53453325013,8568.509396653308,54701.98920558725,5892.433671857039,5722.938832221972
2023-01-01 10:00:00,22366.0,8893.75,47089.924137293725,16054.280154702501,49123.570179656075,14342.438710598384,13523.273122965827
2023-01-01 11:00:00,20812.0,9297.0,44686.928108601016,21045.217207426747,46687.57546726721,21630.622397088613,20198.441127144557
2023-01-01 12:00:00,19964.5,8025.25,41863.66975043874,23398.38475161977,44001.683154650396,26252.152427192108,24431.54174650979
2023-01-01 13:00:00,20362.5,5209.0,39380.31840096191,20644.794352312896,41841.821100860885,24965.849069957512,23202.679757374077
2023-01-01 14:00:00,22108.5,1938.0,34941.05576495833,14484.181270619172,38012.84190918333,22527.49041024945,21024.18440143274
2023-01-01 15:00:00,20921.75,105.75,31183.91176646897,6463.556549473888,34820.48832214094,10581.424996823005,9986.576227033416
2023-01-01 16:00:00,19693.0,0.0,27539.8534956794,76.91815406639208,31351.155754273506,245.77732081303913,243.78931493047577
2023-01-01 17:00:00,19468.5,0.0,24900.163339562718,0.0,28672.95476555132,0.0,0.0
2023-01-01 18:00:00,19146.5,0.0,23044.090667490294,0.0,26844.273291796624,0.0,0.0
2023-01-01 19:00:00,19462.0,0.0,22199.359306755967,0.0,26271.26574439257,0.0,0.0
2023-01-01 20:00:00,19315.25,0.0,22119.56058556524,0.0,26313.345395171225,0.0,0.0
2023-01-01 21:00:00,18436.0,0.0,23612.500859009324,0.0,27589.248493932737,0.0,0.0
2023-01-01 22:00:00,18192.0,0.0,21173.22318222117,0.0,25157.510229716496,0.0,0.0
2023-01-01 23:00:00,18625.75,0.0,21824.10839987293,0.0,25532.060655339847,0.0,0.0
2023-01-02 00:00:00,19165.5,0.0,23290.85370065274,0.0,26803.05071398116,0.0,0.0
2023-01-02 01:00:00,20920.75,0.0,26533.80147557527,0.0,29994.288090674094,0.0,0.0
2023-01-02 02:00:00,22547.5,0.0,30430.427912401516,0.0,34079.95409702588,0.0,0.0
2023-01-02 03:00:00,24583.5,0.0,33387.933940302006,0.0,37236.41225871479,0.0,0.0
2023-01-02 04:00:00,23463.0,0.0,35792.750713623675,0.0,39248.80286159739,0.0,0.0
2023-01-02 05:00:00,27563.5,0.0,37271.30864070242,0.0,40649.2860777881,0.0,0.0
2023-01-02 06:00:00,29003.5,0.0,39079.44689405939,0.0,42585.78259723587,0.0,0.0
2023-01-02 07:00:00,30319.25,456.25,40076.49034083913,0.0,42835.908304260825,0.0,0.0
2023-01-02 08:00:00,30145.75,2882.5,40347.37727297728,1557.520014420776,42242.73100637839,734.4517231585779,725.849942343692
2023-01-02 09:00:00,28425.25,5532.75,40346.74565396631,7056.2991058291545,41939.2976195178,5197.226343819828,5031.920277731719
2023-01-02 10:00:00,27260.0,7371.25,35656.59668449286,14215.386508417638,37777.56052923911,12930.80283015248,12186.578117908555
2023-01-02 11:00:00,26772.25,7611.75,35466.975054029615,18942.225351825324,37893.499380593115,19766.66420644645,18471.50525263037
2023-01-02 12:00:00,25735.75,5919.0,32645.949188005434,18591.726701639775,35258.13896967019,21641.148660426,20188.134976406538
