,KWF1_actual,KWF2_actual,KWF3_actual,KWF4_actual,KWF5_actual,KWF6_actual
2023-01-01 00:00:00,1768.6533630371107,1943.7991630152665,1337.3853286743176,1735.6645329525609,1789.970336914064,1642.0820627848325
2023-01-01 01:00:00,1997.4214062071703,1994.024613336933,2031.9321414345213,1970.9401779442517,2022.4066099468048,1837.1234735321596
2023-01-01 02:00:00,1977.0012500963733,2001.8954671223976,1978.678919474286,1909.4192697090036,1965.4262841475656,1855.9892557779965
2023-01-01 03:00:00,1974.3846417878824,1997.6207733154315,1924.446605374522,1890.1824330647803,1974.1647094726584,1817.6943005210487
2023-01-01 04:00:00,1778.8119338989275,1898.890675862632,1763.3800089518238,1634.1996302286796,1767.1292449951188,1541.4043746948253
2023-01-01 05:00:00,1561.6679784139014,1675.7687357852346,1156.1106391906744,1398.0662427935692,1597.6694069845646,1275.386609984282
2023-01-01 06:00:00,1329.0009439033383,1606.8812840779635,1100.35092977398,1301.2789805094415,1419.8702316284198,1049.4922373453783
2023-01-01 07:00:00,1842.6390050252294,1917.358935546876,1614.1259699503587,1690.5294809977229,1820.6929066975927,1501.6530131022148
2023-01-01 08:00:00,1717.777534913181,1838.6481624134813,1456.2195686741895,1548.8128690886924,1779.5644338507416,1547.7241018194916
2023-01-01 09:00:00,1472.1640803019218,1633.1381561279313,908.7560534159348,1327.6719070434576,1428.077281296045,1324.0284952799486
2023-01-01 10:00:00,1601.5872151692718,1862.3850828115028,1126.929295603435,1692.6130116780612,1695.661705017091,1650.2811350504574
2023-01-01 11:00:00,1897.7644897460957,2014.0496307373066,1565.663693237306,1850.674023437502,1894.2610249837253,1892.0606587727887
2023-01-01 12:00:00,1943.4257386592408,2040.7031860351583,1846.637741851808,1905.0373828553336,1910.5925872802748,1837.582177734377
2023-01-01 13:00:00,1422.9521901448572,1652.7249768708896,850.0904001336356,1338.1759338378915,1398.6620643481883,1312.1495788306531
2023-01-01 14:00:00,1001.8060530813126,1295.0265024820972,518.6581577501801,997.8037440651348,937.6555938720709,938.4972389221197
2023-01-01 15:00:00,586.9972710927331,803.2385930379234,415.08805046081557,754.4302383422852,746.5571461995443,619.6921319258842
2023-01-01 16:00:00,661.0475540161134,793.0957700093591,501.9893810272218,722.7671424865725,776.7286366780601,590.2009613037111
2023-01-01 17:00:00,777.8686228434249,881.6941602071129,563.100560251872,813.3115315755211,814.3854403177901,666.9614993125206
2023-01-01 18:00:00,887.5146950972709,949.0244437635998,634.1698238372805,884.8269981384279,999.4902699654568,738.9026151021325
2023-01-01 19:00:00,487.73887023925795,572.634912745158,427.6197817166646,550.9655245463053,540.9462994893394,493.3991498311361
2023-01-01 20:00:00,544.5214164733887,706.0387504443792,540.8338844098544,535.6248312498393,410.2880294063636,424.1050549021939
2023-01-01 21:00:00,493.3146962483726,614.158405049642,609.4008707682292,535.8034100850423,287.05599797566737,405.2940664927166
2023-01-01 22:00:00,356.1424630482993,451.7924880981447,457.5995697021485,442.69342524210623,195.86018098195402,391.04135309855155
2023-01-01 23:00:00,357.2867385462711,420.0894860250908,310.3612200887581,356.8342819749264,389.67554514031673,318.15599835713715
2023-01-02 00:00:00,456.2979270935059,505.4832977294923,252.45763476665752,491.76279398600263,575.9815111796063,418.2973623911541
2023-01-02 01:00:00,424.2286443074545,500.30758234659834,261.4293221791586,646.1369008382162,579.8756546020508,521.3330032348633
2023-01-02 02:00:00,325.02253023783373,475.86001701354985,221.62009118398035,473.6812838504189,475.61497446695967,442.6999178568523
2023-01-02 03:00:00,395.8423543294271,489.5356516520183,330.61093190511076,500.8254946390789,469.3623115539552,419.55149650573736
2023-01-02 04:00:00,573.6193720499675,603.1056285858155,302.4312019348145,543.9098281860353,369.05438733351866,282.5582029794393
2023-01-02 05:00:00,370.5615681966147,409.6185306549073,395.42316856384286,440.40930709838864,278.90974604288743,214.50834828217822
2023-01-02 06:00:00,181.5298560460409,258.84747301737474,224.18104432423914,209.22191130320235,97.29219311873119,77.87096869945528
2023-01-02 07:00:00,216.14693550310645,279.0886526542798,251.6555316289266,246.3273881912232,150.09654467900597,121.30696489810946
2023-01-02 08:00:00,292.3124874114991,423.66290740966815,341.4488806406658,288.7070796966553,285.74544773101815,153.73914483388268
2023-01-02 09:00:00,252.5878752390544,342.81985422770185,264.9148673776995,207.19880219860042,233.02274745305385,119.92591978876214
2023-01-02 10:00:00,212.76449406607117,384.57415347182973,309.7906995137534,284.2244518756867,247.31479595564963,111.2553246458372
2023-01-02 11:00:00,179.3052728891373,329.85607579549156,305.882549349467,243.5058847586314,207.9078032255173,113.052853234609
2023-01-02 12:00:00,140.48681883017224,164.27562464078275,237.18702023824062,214.97100923437833,150.11958058277764,73.7766312009933
2023-01-02 13:00:00,131.27224771281087,90.16606645981472,97.4651588320732,101.54861726239325,71.51916892429193,56.274675513307244
2023-01-02 14:00:00,115.24811122566463,106.5315634250641,80.64018472979342,133.5176952119917,69.46765017559132,37.472193193893595
2023-01-02 15:00:00,70.75740981729409,84.98871274119934,20.277391202251106,69.09996409316858,18.51762133909945,3.552171784953066
2023-01-02 16:00:00,118.41299516629523,129.68552087631375,54.86293943149073,147.8420094068055,68.59876022819886,32.476911338280736
2023-01-02 17:00:00,269.338531112671,293.1287906646728,239.54344654083252,348.30770225524907,257.4499570210775,184.0861956613106
2023-01-02 18:00:00,370.6194564819337,372.53257446289075,338.88738292225634,450.59292577107755,362.55659128824874,266.07382367451993
2023-01-02 19:00:00,464.3445884704591,485.07788060506203,411.80354105631517,575.4960772196453,440.8023357324434,276.61155535380055
2023-01-02 20:00:00,311.2705191963598,379.6305589040121,231.5690532048544,426.86395746866873,291.8547957102458,211.20924596786503
2023-01-02 21:00:00,370.2601165771485,470.5382073787221,139.17766952012715,554.6581060576858,381.68974507649745,291.6807472229005
2023-01-02 22:00:00,407.23473445156174,549.4764556884767,74.4513843958838,646.5324882507324,525.6181064940337,356.7829840342204
2023-01-02 23:00:00,602.2977731269702,725.1416322540821,255.38687025705977,738.976669927229,606.5167784372966,372.1178136992874
2023-01-03 00:00:00,761.6436035156252,822.9177027384443,646.9832532246909,761.7386744181317,173.07198349300188,417.427695465088
2023-01-03 01:00:00,744.4479975382487,948.6151830037438,658.2223726908368,683.1697288513184,163.07634166081746,421.48576660156255
2023-01-03 02:00:00,674.8534314473471,861.8475097656252,700.4987736216763,617.7087056477866,222.93800093332933,416.9735580444337
2023-01-03 03:00:00,679.4062370567991,1006.3526010613696,681.5617834927745,596.859513788056,503.29366047507847,357.987635629219
2023-01-03 04:00:00,887.0983338205442,1187.178956309537,863.1435704549159,808.8253077189129,703.8850785640249,543.7669301350912
2023-01-03 05:00:00,1060.049090843871,1451.6987323961769,1163.6564681203747,1066.2242234614866,1058.8912920232412,765.3938542951618
2023-01-03 06:00:00,1343.3566140158143,1696.7227605451628,1584.5728924132243,1267.5214800918322,617.1503366704574,910.4715903834298
2023-01-03 07:00:00,1167.0912963867193,1438.5896042405523,1482.520668538412,1368.921791585288,551.4232069651289,953.9810124715174
2023-01-03 08:00:00,1255.4369847615571,1605.863839213055,1512.4005950927747,1566.1430714925143,796.1015081305258,1106.7780763324952
2023-01-03 09:00:00,1465.1508844080827,1769.118261210125,1551.1777242024746,1423.9399302164722,816.603244272868,1036.7962600708017
2023-01-03 10:00:00,1657.1119617395245,1814.90647441128,1705.9022506981582,1623.7524620457716,1227.218088973197,1323.1977007414173
2023-01-03 11:00:00,1643.9920206705744,1685.5043799952473,1609.5924331665049,1533.7557215372733,1100.6179056803396,1286.6976826717982
2023-01-03 12:00:00,1599.8635508219413,1564.5553731282564,1682.6321950276706,1272.0556452834824,1157.2752008003108,1164.231905619304
2023-01-03 13:00:00,1523.5856801350917,1544.5361241658538,1690.3996990806188,1327.7012522379562,1341.2869679768892,1263.512814839682
2023-01-03 14:00:00,1706.0608413160905,1839.3086730957048,1898.3292236328145,1755.8883153279637,1937.0939951578791,1709.6225107828793
2023-01-03 15:00:00,1883.9673095703147,1957.1913157145202,1900.675539652508,1947.581474812827,2003.2855895996106,1830.1278352436282
