Model,Day_ratio,Day_corr,Day_sim_GWh,Day_act_GWh,Night_ratio,Night_corr,Night_sim_GWh,Night_act_GWh,Full_ratio,Full_corr,Full_sim_GWh,Full_act_GWh
Windpowerlib MaStR fleet (ERA5 cutout),140.1894718298259,0.9727774885467309,79712.98206968563,56860.8905,141.51618811398927,0.9802470903908829,86424.52195823204,61070.414,140.8765083472113,0.976245961265955,166137.5040279177,117931.3045
Atlite (ERA5 cutout),129.11852651010489,0.9721676453756591,73417.94397412421,56860.8905,126.29591859276061,0.9760649339968605,77129.44034970188,61070.414,127.65684646846765,0.973816897557343,150547.3843238261,117931.3045
